numero_arrete,date_signature,debut_validite_arrete,fin_validite_arrete,duree_jours
LOT_AP_E-2022-359_20221229,2022-12-29,2023-01-01,2023-01-31,31.0
2022-12-28-00003,2022-12-28,2023-01-01,2023-01-13,13.0
arrêté-hivers_20230112,2023-01-12,2023-01-14,2023-03-27,73.0
2022-01-1300001,2023-01-13,2023-01-14,2023-01-17,4.0
12-2023,2023-02-09,2023-02-09,2023-02-13,5.0
16-2023,2023-02-14,2023-02-14,2023-03-19,34.0
DDTM/SEBIO/2023-15,2023-02-17,2023-02-17,2023-06-27,131.0
DDTM/SEBIO/2023-16,2023-02-17,2023-02-17,2023-06-27,131.0
DDTM/SEBIO/2023-17,2023-02-17,2023-02-17,2023-03-23,35.0
DDTM/SEBIO/2023-11,2023-02-17,2023-02-17,2023-06-27,131.0
2023-01,2023-02-24,2023-02-24,2023-03-31,36.0
DDTM/SER/2023054-0001,2023-02-23,2023-02-23,2023-04-30,67.0
78-2023-03-03-00001,2023-03-03,2023-03-03,2023-03-15,13.0
94_2023_00824,2023-03-03,2023-03-06,2023-06-17,104.0
19-2023-03-06-00001_ESUP,2023-03-06,2023-03-06,2023-04-15,41.0
19-2023-03-06-00001_ESOU,2023-03-06,2023-03-06,2023-04-15,41.0
07-2023-03-06-00016,2023-03-06,2023-03-06,2023-03-20,15.0
26-2022-12-21-00007 et 38-2022-12-21-00006,2022-12-21,2023-03-21,2023-02-28,-20.0
AP 38-2023-03-08-00002 et AP 26-2023-03-02-0004,2023-03-08,2023-03-09,2023-04-23,46.0
26-2023-03-01-00005,2023-03-01,2023-03-01,2023-03-01,1.0
26-2023-03-01-00004 et 38-2023-03-08-00002,2023-03-01,2023-03-08,2023-04-05,29.0
23-2023-03-09-00001,2023-03-09,2023-03-09,2023-03-31,23.0
30-2023-03-10-00002,2023-03-10,2023-03-11,2023-04-11,32.0
DDT/SEE/2023/0016,2023-03-10,2023-03-10,2023-06-14,97.0
20230314_Vigilance_Neste_AP1,2023-03-13,2023-03-14,2023-04-11,29.0
13 AVRIL 2023,2023-03-13,2023-03-13,2023-04-16,35.0
